station_name,latitude,longitude
Tampines West (DT29),1.345515305601201,103.9384369712212
Tampines East (DT31),1.356191482715451,103.9546344624998
Upper Changi (DT32),1.341739774449938,103.9614727886333
Xilin (DT34),1.328906949388583,103.9649025695947
Sungei Bedok (DT35),1.320401487291132,103.9571838234776
Woodlands North (TE1),1.44829245259622,103.785692682441
Woodlands South (TE3),1.427396052814427,103.7932643222093
Springleaf (TE4),1.397581061268243,103.8178569499463
Lentor (TE5),1.385506579721705,103.8357438096688
Mayflower (TE6),1.371463188310142,103.8365677669445
Bright Hill (TE7),1.363283185451856,103.8328936199913
Upper Thomson (TE8),1.354416433654027,103.832898468504
Mount Pleasant (TE10),1.32856455460667,103.8351885819893
Napier (TE11),1.306782233647866,103.8189567968147
Orchard Boulevard (TE12),1.302422248367229,103.8238685232488
Great World (TE14),1.293948161693831,103.8337208377308
Havelock (TE15),1.288505239753116,103.8335858382257
Maxwell (TE17),1.280533298428769,103.8438836706331
Shenton Way (TE18),1.277716828342504,103.8503675960666
Gardens by the Bay (TE20),1.27848725876303,103.8674546644205
Tanjong Rhu (TE21),1.297265079406466,103.8734532546209
Katong Park (TE22),1.297831477789522,103.8861789499243
Tanjong Katong (TE23),1.299319257698992,103.8973687420782
Marine Parade (TE24),1.302611634833843,103.9049830868117
Marine Terrace (TE25),1.306665103448141,103.9151067004998
Siglap (TE26),1.310008694322892,103.9300258267072
Bayshore (TE27),1.313122482912643,103.9423097767668
South View (BP2),1.380298287423997,103.7452917998233
Keat Hong (BP3),1.378603250637315,103.7490556689249
Teck Whye (BP4),1.376684679208098,103.7537122323367
Phoenix (BP5),1.378615451040848,103.7579955583452
Bukit Panjang (BP6),1.377926946169822,103.7631029311114
Petir (BP7),1.377772042590833,103.7666457824963
Pending (BP8),1.376135743349891,103.7712611755711
Bangkit (BP9),1.380022230100881,103.7726473704518
Fajar (BP10),1.38457317668027,103.7708872230177
Segar (BP11),1.387785086633622,103.7695996852484
Jelapang (BP12),1.386739269979613,103.7645340864596
